Job_ID,Job_Title,Company,City,State,Country,Work_Mode,Experience_Level,Experience_Years,Salary_LPA,Open_Positions,Skills,Industry,Annual_Salary_INR,Applications,Education,Employment_Type,Posting_Date,Company_Rating,Job_Status
78,Business Analyst,Zoho,Delhi,Tamil Nadu,India,Hybrid,Entry,8,14,20,"Azure,Python",Education,363782,316,Master,Contract,2026-05-02,93,Open
79,Data Analyst,Amazon,Bengaluru,Karnataka,India,Hybrid,Mid,4,8,8,"Python,Pandas",Retail,1150688,60,Bachelor,Contract,2026-02-09,68,Open
80,Data Analyst,TCS,Pune,Delhi,India,Hybrid,Entry,6,22,17,"Excel,SQL",Healthcare,1156541,207,Master,Full-time,2026-05-18,56,Closed
81,Software Engineer,TechNova,Chennai,Tamil Nadu,India,Remote,Mid,8,11,15,"Python,Pandas",Finance,1603992,122,Bachelor,Internship,2026-01-10,72,Open
82,Data Analyst,Capgemini,Pune,Telangana,India,Onsite,Entry,6,16,16,"Excel,SQL",Healthcare,1015623,225,Bachelor,Internship,2026-01-30,89,Open
83,Data Scientist,Infosys,Mumbai,Karnataka,India,Onsite,Senior,5,27,7,"Tableau,SQL",IT Services,1307169,459,Bachelor,Contract,2026-01-15,90,Open
84,Software Engineer,Accenture,Chennai,Karnataka,India,Hybrid,Associate,7,26,19,"Excel,SQL",Retail,1666144,395,Bachelor,Contract,2026-04-12,78,Closed
85,Data Analyst,Amazon,Pune,Telangana,India,Remote,Entry,6,16,7,"Python,SQL",IT Services,683706,234,Master,Internship,2026-05-19,82,Closed
86,Business Analyst,Microsoft,Chennai,Telangana,India,Hybrid,Senior,3,20,16,"Python,SQL",Education,823185,216,Bachelor,Internship,2026-02-09,61,Closed
87,Business Analyst,Infosys,Mumbai,Delhi,India,Remote,Senior,0,19,10,"Python,Pandas",Finance,384841,479,Bachelor,Internship,2026-06-19,82,Open
88,BI Developer,Google,Chennai,Delhi,India,Remote,Senior,1,20,7,"Azure,Python",Retail,394328,500,Bachelor,Full-time,2026-03-05,51,Closed
89,Data Scientist,Zoho,Bengaluru,Delhi,India,Onsite,Mid,8,23,18,"Tableau,SQL",Retail,1461444,85,Master,Internship,2026-04-30,74,Open
90,Data Scientist,Capgemini,Bengaluru,Telangana,India,Hybrid,Associate,1,26,15,"Excel,SQL",Finance,842047,130,Master,Contract,2026-05-07,74,Closed
91,BI Developer,TechNova,Bengaluru,Karnataka,India,Remote,Associate,1,28,10,"Tableau,SQL",Retail,802956,295,Bachelor,Internship,2026-05-25,79,Closed
92,Data Analyst,Infosys,Bengaluru,Tamil Nadu,India,Onsite,Senior,6,16,8,"Tableau,SQL",Education,570901,344,Bachelor,Full-time,2026-02-20,74,Open
93,Business Analyst,Zoho,Hyderabad,Karnataka,India,Hybrid,Associate,5,18,13,"Python,SQL",Education,926912,106,Master,Full-time,2026-03-15,68,Open
94,Data Scientist,Google,Hyderabad,Delhi,India,Remote,Mid,2,28,8,"Azure,Python",IT Services,535966,437,Master,Internship,2026-06-07,87,Open
95,ML Engineer,Microsoft,Pune,Tamil Nadu,India,Remote,Senior,8,7,12,"Azure,Python",IT Services,553527,414,Bachelor,Internship,2026-02-23,74,Closed
96,ML Engineer,Accenture,Hyderabad,Tamil Nadu,India,Remote,Associate,6,11,17,"Python,Pandas",Healthcare,1335942,50,Bachelor,Full-time,2026-05-20,85,Open
97,Data Analyst,Google,Bengaluru,Maharashtra,India,Onsite,Mid,3,6,6,"Azure,Python",IT Services,1186396,426,Master,Full-time,2026-04-27,61,Open
98,BI Developer,Microsoft,Hyderabad,Karnataka,India,Hybrid,Entry,5,4,18,"Python,SQL",Education,670734,456,Bachelor,Contract,2026-05-11,80,Open
99,ML Engineer,Infosys,Mumbai,Maharashtra,India,Hybrid,Mid,6,11,15,"Python,Pandas",IT Services,1458028,485,Master,Full-time,2026-05-30,77,Closed
100,Software Engineer,Capgemini,Bengaluru,Delhi,India,Onsite,Mid,1,30,15,"Python,Pandas",Retail,1390172,404,Bachelor,Internship,2026-05-31,87,Open
101,ML Engineer,Microsoft,Chennai,Tamil Nadu,India,Hybrid,Mid,8,4,15,"Tableau,SQL",IT Services,1316961,458,Bachelor,Internship,2026-01-10,78,Closed
102,ML Engineer,TechNova,Bengaluru,Telangana,India,Remote,Associate,2,21,7,"Python,Pandas",Healthcare,1366696,215,Master,Contract,2026-05-09,66,Closed
103,Software Engineer,Infosys,Delhi,Karnataka,India,Hybrid,Mid,1,5,9,"Excel,SQL",Retail,474678,64,Master,Internship,2026-01-10,96,Closed
104,Business Analyst,Infosys,Hyderabad,Maharashtra,India,Onsite,Mid,3,29,6,"Tableau,SQL",Healthcare,1012329,474,Master,Internship,2026-03-02,58,Open
105,Data Scientist,TechNova,Chennai,Telangana,India,Onsite,Associate,8,4,20,"Python,Pandas",Finance,714031,119,Bachelor,Internship,2026-04-24,58,Open
106,BI Developer,Accenture,Chennai,Telangana,India,Hybrid,Mid,3,23,4,"Python,SQL",Retail,367663,84,Master,Internship,2026-03-10,52,Open
107,Data Analyst,Microsoft,Bengaluru,Tamil Nadu,India,Remote,Associate,7,12,11,"Python,Pandas",Education,1078836,166,Master,Internship,2026-02-28,54,Open
108,Business Analyst,Accenture,Delhi,Delhi,India,Onsite,Senior,7,14,4,"Python,Pandas",IT Services,519714,337,Master,Internship,2026-06-02,87,Closed
109,Data Analyst,Zoho,Bengaluru,Delhi,India,Onsite,Senior,7,22,19,"Power BI,SQL",Healthcare,1716911,419,Master,Internship,2026-03-28,98,Closed
110,ML Engineer,Wipro,Hyderabad,Telangana,India,Onsite,Entry,7,17,15,"Power BI,SQL",Education,1231462,107,Master,Contract,2026-06-05,94,Open
111,BI Developer,TechNova,Delhi,Tamil Nadu,India,Remote,Mid,8,26,5,"Excel,SQL",Retail,331375,166,Master,Contract,2026-04-09,87,Open
112,Software Engineer,Infosys,Hyderabad,Tamil Nadu,India,Onsite,Entry,2,27,13,"Python,Pandas",Education,1014667,119,Bachelor,Internship,2026-02-23,94,Open
113,Software Engineer,Amazon,Delhi,Telangana,India,Hybrid,Senior,6,19,18,"Python,SQL",Finance,1155028,480,Bachelor,Internship,2026-05-10,52,Open
114,Business Analyst,Accenture,Delhi,Maharashtra,India,Remote,Associate,4,26,15,"Python,SQL",Healthcare,1231705,254,Bachelor,Internship,2026-06-11,59,Open
115,BI Developer,Microsoft,Hyderabad,Delhi,India,Hybrid,Entry,4,28,12,"Python,Pandas",IT Services,951638,385,Bachelor,Internship,2026-04-05,81,Open
116,Business Analyst,Amazon,Delhi,Telangana,India,Hybrid,Associate,0,6,20,"Tableau,SQL",Education,641969,66,Master,Full-time,2026-05-09,54,Open
117,Software Engineer,TechNova,Pune,Tamil Nadu,India,Remote,Entry,0,20,14,"Excel,SQL",IT Services,1582446,4,Bachelor,Contract,2026-01-01,62,Closed
118,ML Engineer,Microsoft,Mumbai,Telangana,India,Remote,Associate,6,4,11,"Tableau,SQL",Retail,374127,169,Master,Contract,2026-03-17,57,Open
119,Business Analyst,Microsoft,Delhi,Tamil Nadu,India,Remote,Associate,2,12,7,"Python,SQL",Healthcare,606810,32,Master,Full-time,2026-05-25,64,Open
120,Data Scientist,TechNova,Mumbai,Tamil Nadu,India,Remote,Associate,2,6,5,"Power BI,SQL",IT Services,543133,44,Bachelor,Contract,2026-03-15,95,Closed
121,BI Developer,Accenture,Delhi,Tamil Nadu,India,Hybrid,Associate,5,14,15,"Python,Pandas",Education,1102054,442,Master,Full-time,2026-05-15,77,Open
122,Data Scientist,TCS,Mumbai,Tamil Nadu,India,Remote,Senior,4,20,13,"Excel,SQL",Healthcare,1158273,233,Master,Contract,2026-05-06,70,Closed
123,ML Engineer,TechNova,Hyderabad,Karnataka,India,Remote,Mid,2,30,8,"Power BI,SQL",Retail,1652442,321,Bachelor,Full-time,2026-05-01,60,Open
124,Data Scientist,Accenture,Hyderabad,Telangana,India,Hybrid,Senior,4,5,17,"Power BI,SQL",Education,1040843,453,Master,Full-time,2026-06-06,59,Closed
125,Software Engineer,TCS,Pune,Delhi,India,Remote,Associate,5,26,15,"Tableau,SQL",Healthcare,1356131,321,Master,Contract,2026-01-18,91,Open
126,BI Developer,TechNova,Hyderabad,Delhi,India,Remote,Entry,3,29,13,"Excel,SQL",Education,1145058,125,Master,Full-time,2026-02-17,64,Closed
127,ML Engineer,TechNova,Bengaluru,Tamil Nadu,India,Remote,Mid,8,11,8,"Power BI,SQL",Finance,458118,159,Master,Contract,2026-06-28,87,Closed
128,ML Engineer,Capgemini,Bengaluru,Maharashtra,India,Hybrid,Associate,3,27,8,"Power BI,SQL",Finance,344458,83,Master,Contract,2026-02-16,61,Open
129,Data Analyst,Amazon,Bengaluru,Karnataka,India,Hybrid,Associate,5,8,4,"Power BI,SQL",Healthcare,1307394,282,Bachelor,Full-time,2026-04-03,73,Closed
130,Data Scientist,TCS,Pune,Tamil Nadu,India,Hybrid,Mid,5,28,6,"Python,Pandas",Healthcare,1171461,435,Bachelor,Contract,2026-05-24,54,Closed
131,Business Analyst,Capgemini,Bengaluru,Telangana,India,Hybrid,Mid,7,16,4,"Excel,SQL",Finance,1628974,148,Bachelor,Full-time,2026-01-05,77,Closed
132,Business Analyst,Wipro,Hyderabad,Delhi,India,Onsite,Mid,4,24,9,"Excel,SQL",Finance,1037602,48,Master,Contract,2026-06-06,83,Open
133,BI Developer,TCS,Pune,Karnataka,India,Onsite,Associate,1,26,6,"Python,SQL",Education,1363525,241,Master,Internship,2026-04-12,70,Open
134,Software Engineer,Google,Pune,Tamil Nadu,India,Onsite,Senior,2,21,15,"Python,SQL",Healthcare,1040096,224,Bachelor,Internship,2026-05-25,91,Closed
135,BI Developer,Capgemini,Bengaluru,Karnataka,India,Hybrid,Entry,5,21,14,"Power BI,SQL",Education,1328479,244,Bachelor,Internship,2026-01-23,64,Open
136,Software Engineer,TCS,Mumbai,Karnataka,India,Hybrid,Entry,5,11,8,"Power BI,SQL",Healthcare,576066,92,Master,Full-time,2026-04-24,85,Closed
137,BI Developer,Microsoft,Mumbai,Telangana,India,Onsite,Mid,3,12,8,"Azure,Python",IT Services,1014009,60,Master,Contract,2026-04-30,95,Open
138,BI Developer,Google,Mumbai,Maharashtra,India,Remote,Entry,1,26,7,"Python,SQL",Education,1112773,70,Master,Contract,2026-06-08,61,Closed
139,ML Engineer,Amazon,Chennai,Delhi,India,Onsite,Senior,7,15,13,"Excel,SQL",Finance,1553857,139,Bachelor,Full-time,2026-04-25,85,Open
140,Data Analyst,Microsoft,Bengaluru,Maharashtra,India,Hybrid,Mid,1,15,5,"Azure,Python",Retail,883424,476,Master,Contract,2026-06-21,71,Open
141,BI Developer,Microsoft,Pune,Delhi,India,Hybrid,Associate,5,7,15,"Power BI,SQL",Education,705792,115,Bachelor,Contract,2026-02-12,91,Open
142,Software Engineer,Infosys,Pune,Tamil Nadu,India,Remote,Mid,8,13,12,"Python,Pandas",IT Services,1112706,249,Master,Contract,2026-01-27,97,Closed
143,ML Engineer,Zoho,Hyderabad,Telangana,India,Remote,Senior,2,17,8,"Python,Pandas",IT Services,1428505,63,Master,Contract,2026-06-14,81,Closed
144,Data Scientist,Microsoft,Mumbai,Maharashtra,India,Hybrid,Senior,8,9,9,"Power BI,SQL",Education,719767,439,Bachelor,Full-time,2026-05-29,70,Open
145,BI Developer,TechNova,Hyderabad,Telangana,India,Onsite,Senior,3,28,13,"Power BI,SQL",Healthcare,1133492,357,Master,Internship,2026-03-26,61,Open
146,Software Engineer,Capgemini,Mumbai,Delhi,India,Remote,Entry,5,15,10,"Azure,Python",Healthcare,500788,222,Bachelor,Contract,2026-04-10,55,Closed
147,Data Analyst,Microsoft,Delhi,Karnataka,India,Remote,Senior,6,13,20,"Excel,SQL",Finance,706726,81,Bachelor,Internship,2026-02-09,60,Open
148,BI Developer,Amazon,Mumbai,Karnataka,India,Remote,Mid,5,22,8,"Python,SQL",Healthcare,665221,115,Bachelor,Internship,2026-01-31,81,Closed
149,Software Engineer,Infosys,Bengaluru,Delhi,India,Onsite,Associate,3,14,8,"Excel,SQL",Healthcare,436003,196,Master,Full-time,2026-01-09,83,Closed
150,Software Engineer,Accenture,Bengaluru,Tamil Nadu,India,Onsite,Mid,0,11,20,"Power BI,SQL",IT Services,522067,416,Bachelor,Contract,2026-02-20,71,Open
151,Software Engineer,Amazon,Mumbai,Maharashtra,India,Hybrid,Associate,6,14,15,"Python,Pandas",Retail,1214775,188,Bachelor,Full-time,2026-04-25,54,Open
152,Business Analyst,TechNova,Bengaluru,Maharashtra,India,Onsite,Senior,1,4,9,"Tableau,SQL",IT Services,392951,220,Master,Contract,2026-03-02,58,Open
153,Software Engineer,Capgemini,Pune,Telangana,India,Onsite,Entry,8,17,8,"Azure,Python",Education,1063484,299,Bachelor,Contract,2026-06-27,57,Open
154,Software Engineer,Infosys,Pune,Karnataka,India,Hybrid,Associate,2,12,4,"Python,Pandas",IT Services,1313095,34,Master,Full-time,2026-06-12,80,Open
155,ML Engineer,Zoho,Delhi,Delhi,India,Hybrid,Associate,8,15,19,"Azure,Python",Healthcare,1218269,59,Bachelor,Full-time,2026-02-02,87,Closed
156,Data Analyst,Capgemini,Chennai,Karnataka,India,Onsite,Entry,0,19,17,"Power BI,SQL",IT Services,944607,249,Bachelor,Internship,2026-01-27,77,Closed
157,Software Engineer,TechNova,Delhi,Delhi,India,Hybrid,Senior,7,10,12,"Excel,SQL",Retail,1226172,273,Bachelor,Contract,2026-04-11,82,Open
158,BI Developer,Google,Hyderabad,Delhi,India,Remote,Mid,8,24,16,"Azure,Python",Retail,1737066,286,Master,Contract,2026-06-30,98,Open
159,Data Analyst,Infosys,Bengaluru,Maharashtra,India,Hybrid,Mid,4,28,13,"Power BI,SQL",IT Services,1352438,70,Master,Full-time,2026-03-20,78,Closed
160,Data Scientist,Microsoft,Hyderabad,Karnataka,India,Remote,Associate,4,22,6,"Python,Pandas",Healthcare,325113,331,Master,Internship,2026-05-26,82,Open
161,BI Developer,Infosys,Chennai,Telangana,India,Onsite,Senior,1,22,19,"Tableau,SQL",Healthcare,1535272,447,Bachelor,Full-time,2026-05-25,60,Open
162,Data Analyst,TechNova,Chennai,Delhi,India,Hybrid,Associate,2,20,8,"Power BI,SQL",Finance,488054,257,Master,Internship,2026-06-07,86,Closed
163,ML Engineer,TCS,Hyderabad,Delhi,India,Remote,Mid,0,3,17,"Tableau,SQL",Healthcare,1295334,216,Master,Full-time,2026-03-10,61,Open
164,Data Analyst,Zoho,Pune,Telangana,India,Onsite,Associate,2,28,11,"Power BI,SQL",IT Services,1066584,34,Master,Contract,2026-06-23,63,Open
165,Business Analyst,Microsoft,Pune,Tamil Nadu,India,Onsite,Entry,7,12,12,"Azure,Python",Healthcare,737353,408,Bachelor,Internship,2026-03-07,90,Closed
166,Data Analyst,Zoho,Pune,Delhi,India,Remote,Associate,7,23,7,"Excel,SQL",Education,1214682,102,Master,Full-time,2026-06-19,65,Open
